file,rows,fcpu_max_ghz,fgpu_max_ghz,gpu_identifiable,beta_cpu,beta_gpu,beta0,D_min,alpha_cpu,alpha_gpu,alpha_ddr,MRE,MAE,RMSE,R2,error
1.csv,156,2.0352,1.3005,True,3.174225792120901,0.49276933153836616,12.751384976977151,16.41838010063642,0.19333367681004412,0.030013273448290134,0.7766530497416657,0.03884225854427555,1.1814044494968887,3.194876059937109,0.7382511030551953,
1_color.csv,156,2.0352,1.3005,True,5.184717692316777,3.415133241198871,7.895907202760386,16.495758136276034,0.31430611733540137,0.20703099627101149,0.4786628863935871,0.05187999143989995,1.6607018749543003,2.5375243471553173,0.9655779215138103,
2.csv,156,2.0352,1.3005,True,0.7276811864418236,0.004408512937632424,12.470381804056725,13.20247150343618,0.05511704276373037,0.0003339157321025104,0.9445490415041671,0.015455156469026997,0.2488068383025235,0.5139396082935346,0.8642881861629602,
3.csv,156,2.0352,1.3005,True,3.370331624946621,1.265880509227357,1.4287109610178927,6.064923095191871,0.5557088807306627,0.20872160938543763,0.23556950988389966,0.020251880551038368,0.30784468790600567,0.5292758937554084,0.992454055162009,
3_color.csv,156,2.0352,1.3005,True,5.477304007933804,3.3291026803823414,2.804378624193505,11.61078531250965,0.4717427685130365,0.2867250225353415,0.24153220895162206,0.01732378152346728,0.528784508901014,0.8766022917368198,0.9951469740233376,
4k_1.csv,156,2.0352,1.3005,True,3.097561976044371,0.5049668983932276,12.693542201172015,16.296071075609614,0.19008029368996204,0.030987033380641873,0.778932672929396,0.040275971745734496,1.2185571527342718,3.2528442345274415,0.728657496995696,
4k_1_new.csv,156,2.0352,1.3005,True,5.1022356656610395,0.824035066593777,10.20129081151875,16.127561543773567,0.31636745901186036,0.051094833174697485,0.6325377078134421,0.05969481289769993,1.8639455802493687,3.4412985036283357,0.8641252808399091,
4k_2.csv,156,2.0352,1.3005,True,0.3036275728593212,3.878543197600391e-18,12.869394192041842,13.173021764901163,0.02304919693280407,2.944307894438138e-19,0.976950803067196,0.002953476521067491,0.041647230851624945,0.09190824268016443,0.9620708272565739,
4k_2_new.csv,156,2.0352,1.3005,True,0.535330181052163,1.516045805378128e-17,12.895500010034334,13.430830191086498,0.039858309087061505,1.1287804132794909e-18,0.9601416909129384,0.007451566327313916,0.12143328413282571,0.34542678050518066,0.8816009782409606,
4k_3.csv,156,2.0352,1.3005,True,3.1556933734987926,0.6837232102355879,5.326359033863304,9.165775617597685,0.3442909258481158,0.07459523762755925,0.5811138365243249,0.04040880031430611,0.6845378565628198,1.3937976151011782,0.9343518097248541,
4k_3_new.csv,156,2.0352,1.3005,True,3.1580266404342185,0.6858877412832147,5.30965708900831,9.153571470725744,0.34500485963691646,0.07493116140260321,0.5800639789604802,0.04514440255883511,0.7632475900636189,1.5123877420777572,0.9242908335375045,
